kernel,C,gamma,accuracy_validation,precision_macro_validation,recall_macro_validation,f1_macro_validation
rbf,10.0,scale,0.7255985267034991,0.7326402508023462,0.7253930522981374,0.7232678786088237
rbf,10.0,auto,0.7255985267034991,0.7326402508023462,0.7253930522981374,0.7232678786088237
rbf,1.0,scale,0.58195211786372,0.5986045381391033,0.5814995450061734,0.575696653942629
rbf,1.0,auto,0.58195211786372,0.5986045381391033,0.5814995450061734,0.575696653942629
linear,1.0,N/A,0.5285451197053407,0.5468275560467862,0.5245786539633854,0.5241065855182084
linear,10.0,N/A,0.5119705340699816,0.5278806628505409,0.5129879024781095,0.513664353202301
linear,0.1,N/A,0.45119705340699817,0.4579992576064739,0.44315537214576123,0.43894567903301485
rbf,0.1,auto,0.3296500920810313,0.30700287412262206,0.29382150387012446,0.2614801165133975
rbf,0.1,scale,0.3296500920810313,0.30700287412262206,0.29382150387012446,0.2614801165133975
