f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,f3_mean,f3_std,f3_min,f3_max,f4_mean,f4_std,f4_min,f4_max,f5_mean,f5_std,f5_min,f5_max,pitch3_mean,pitch3_std,pitch3_min,pitch3_max,activity
9.301650359041311e-15,8.744899528049583,-45.506249999999994,6.993750000000006,-1.873249030640264e-15,6.027230751944883,-16.375909090909094,12.1240909090909,-4.521635591200637e-16,5.520546322780273,-18.15034090909091,9.94965909090909,4.618527782440651e-15,2.316232235016368,-12.67022727272727,11.529772727272732,-1.1304088978001594e-15,1.8475873220788814,-10.491704545454546,5.008295454545454,1.808654236480255e-15,69.561074642993,-91.0383969621587,106.61771841309704,000
-3.5123419324504953e-15,0.6896961542041297,-10.956818181818182,1.0431818181818215,1.9378438248002731e-16,1.6092661691919674,-9.218181818181819,4.481818181818184,8.074349270001138e-16,0.9754252092513183,-10.349545454545453,2.0504545454545493,-3.5930854251505066e-16,0.6815817771979119,-10.940909090909088,0.2590909090909115,-1.227301089040173e-15,1.7176168465973067,-12.341931818181818,3.3580681818181866,4.134066826240583e-15,60.970828868699506,-69.09168289563777,96.8552292236929,008
-5.167583532800729e-15,38.22128313523936,-96.01136363636365,15.98863636363636,-2.0670334131202913e-15,9.172803207604199,-22.994204545454547,5.8057954545454535,4.392446002880619e-15,9.772284440284073,-24.444999999999997,6.055000000000003,5.167583532800728e-16,16.04784443958206,-40.24454545454546,9.755454545454555,2.583791766400364e-16,8.844092088848525,-22.181818181818183,4.918181818181825,5.167583532800728e-16,49.0027016431009,-159.11646087351892,117.55339923925315,009
8.276208001751166e-16,0.7135680971256615,-11.322159090909091,0.4778409090909115,-2.2365947477903153e-15,0.495183412050775,-7.954545454545455,0.045454545454543194,-1.1869293426901674e-15,0.7134445222022037,-11.241931818181818,0.45806818181818443,-4.521635591200637e-16,0.7015705521680778,-11.138181818181817,0.46181818181818457,-3.673828917850518e-15,0.7371863739923575,-11.607500000000005,0.3924999999999983,-5.803438537813318e-17,0.11692608701627766,-0.044227784165275175,1.8688782937765438,015
-2.1154795087402983e-15,2.2657891369726224,-21.816363636363636,0.6836363636363672,8.397323240801184e-16,3.6253738764162873,-18.552272727272726,12.147727272727277,-2.745278751800387e-15,2.870968137220965,-22.511022727272728,8.188977272727275,-1.582572456920223e-15,3.7462662886361815,-23.45340909090909,13.846590909090914,-8.881784197001253e-17,3.816488091597534,-25.119318181818183,9.280681818181815,3.836930773104541e-14,16.556573114332707,-14.78491221254734,153.61254039655773,004
2.7129813547203826e-15,1.6934274341376663,-12.652840909090909,5.1471590909090885,-2.1316282072803005e-15,7.146189702198931,-20.817386363636366,7.982613636363631,6.459479416000911e-16,5.719445200032751,-20.205113636363638,6.394886363636363,2.3657843361103335e-15,4.851494262389254,-18.344886363636363,6.955113636363642,3.585011075880505e-15,4.11498232469367,-15.13988636363636,8.560113636363635,-5.167583532800728e-16,83.03977841542884,-104.53918509575605,155.41405838627884,001
-1.653626730496233e-14,47.92954642446082,-85.775,27.32499999999999,1.5502750598402185e-15,9.587875112534253,-17.14090909090909,5.859090909090913,0.0,10.682618925499403,-19.072727272727274,6.9272727272727295,-1.5502750598402185e-15,9.729570817639113,-17.412500000000005,5.587499999999999,1.5502750598402185e-15,11.941563011453242,-21.310340909090908,8.389659090909095,-4.134066826240583e-15,52.65956100170287,-79.35944403191559,73.62716276155572,006
7.630260060151076e-16,0.980601881025244,-12.944204545454546,1.05579545454545,1.7440594423202459e-15,1.4192699606045287,-14.93522727272727,1.5647727272727288,-4.457040797040629e-15,2.0882951515481114,-25.62920454545455,2.97079545454546,-6.588669004320929e-15,2.007886812666328,-20.147954545454553,3.35204545454544,1.291895883200182e-16,0.9820849740107462,-11.757386363636364,1.6426136363636417,0.0,8.046996539554058,-36.045427282260455,19.53491659220017,013
1.5502750598402185e-15,9.487752000159412,-17.87727272727273,5.122727272727275,-5.167583532800728e-16,6.735563288242296,-12.68909090909091,4.010909090909093,-5.167583532800728e-16,9.486536512342111,-17.875000000000004,5.125,-1.5502750598402185e-15,9.484711967443815,-17.871590909090912,5.128409090909091,-2.0670334131202913e-15,9.095074613844844,-17.136363636363637,5.163636363636364,0.0,4.176454848163064,-2.2956113997943497,7.869232843621582,013
-5.167583532800728e-16,10.022788198124452,-20.17409090909091,9.32590909090909,1.0335167065601457e-15,21.529758685114334,-39.96022727272727,19.23977272727273,-1.5502750598402185e-15,16.2476239040793,-30.961250000000003,14.138749999999998,5.167583532800729e-15,25.169501294282586,-48.02977272727272,21.47022727272728,-3.61730847296051e-15,13.988028823303528,-27.41795454545455,14.882045454545455,1.0335167065601457e-15,66.67611082321595,-115.14457137914081,204.18486137009648,002
-3.746498061280528e-15,5.3062553478056165,-21.317045454545458,14.082954545454534,0.0,8.209710524788706,-23.185909090909092,9.314090909090908,0.0,9.882892728621204,-21.265795454545454,12.33420454545454,2.842170943040401e-15,6.529307952994813,-16.40113636363636,8.598863636363632,-5.167583532800728e-16,5.9505618006875345,-16.73227272727273,10.367727272727265,4.134066826240583e-15,77.78904646305764,-105.83160924967464,200.4922545078883,010
3.229739708000455e-17,1.2136813917421467,-15.509545454545455,1.590454545454545,2.5191969722403553e-15,0.7984948311362063,-11.645568181818179,2.0544318181818184,2.2244832238853135e-15,0.8961058357721818,-10.89761363636363,2.3023863636363693,4.973799150320701e-15,2.232106061326,-18.668409090909083,4.83159090909092,3.512341932450495e-16,1.1273872742388502,-11.995454545454546,2.3045454545454547,9.947598300641402e-15,9.006473956558866,-55.52646565797782,17.02603402384807,006
-4.267293589195602e-15,0.6868044941780305,-10.963636363636365,0.6363636363636402,4.521635591200637e-16,0.8901059619227442,-9.252613636363636,2.047386363636363,2.361747161475333e-15,0.6844004132230154,-10.947727272727267,0.652272727272738,-4.533747115105639e-15,0.8527804548254094,-11.111363636363638,3.2886363636363676,-7.993605777301127e-16,1.169940614221844,-12.699431818181818,3.2005681818181806,1.291895883200182e-16,56.569100811860054,-59.482814108522575,109.0974120372293,008
2.7129813547203826e-15,5.439714800192931,-23.662727272727274,10.937272727272742,-1.0335167065601457e-15,5.353646585882274,-18.514772727272728,15.985227272727265,-6.201100239360874e-15,10.461074541632861,-27.135340909090914,19.96465909090908,1.3887880744401959e-15,3.8496705461030105,-13.830568181818181,10.86943181818182,6.459479416000911e-16,7.200559277771875,-27.998295454545456,15.501704545454544,2.028276536624286e-14,7.852313724977231,-9.617454689892867,85.10564687452045,004
1.0092936587501424e-15,2.4495082889098407,-15.350227272727272,6.049772727272732,4.5216355912006375e-15,5.8187236686162445,-30.049431818181816,16.050568181818186,6.911642975120975e-15,4.646667681784229,-20.54852272727272,13.251477272727278,1.7279107437802437e-15,2.520956339917174,-14.458636363636362,5.94136363636364,2.793724847420394e-15,3.4350019548396284,-15.674545454545452,9.825454545454551,3.3589292963204735e-15,51.748653363297656,-105.95572883639862,55.33303640851847,015
-1.0448207955381473e-14,3.2559585873155767,-52.15863636363637,0.7413636363636158,-1.517977662760214e-15,1.0270669984563725,-13.628750000000002,0.8712499999999963,-4.5216355912006375e-15,1.3076618571103613,-19.080113636363635,1.6198863636363612,-7.993605777301127e-16,0.9633923093608011,-14.753409090909091,0.4465909090909115,4.941501753240697e-15,0.8941323591168345,-12.609772727272723,0.5902272727272795,-4.134066826240583e-15,40.7127971263029,-45.365209562753904,61.992184342088976,008
